n,modo,ordem_criacao,ordem_termino,bateu,inversoes
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
